UBL_REFERENCENO,POLICY_STATUS,POLICY_STATUS_DATE
S785365,A,02/13/2024
S785694,A,02/13/2024
S785587,A,02/13/2024
S785504,A,02/13/2024
S785790,A,02/13/2024
S785362,A,02/13/2024
S785182,A,02/13/2024
S785475,A,02/13/2024
S785637,A,02/13/2024
S785329,A,02/13/2024
S785294,A,02/13/2024
S785371,A,02/13/2024
S785712,A,02/14/2024
S785304,A,02/14/2024
S785691,A,02/14/2024
S785282,A,02/14/2024
S785653,A,02/14/2024
S785750,A,02/14/2024
S785634,A,02/14/2024
S785453,A,02/14/2024
S785380,A,02/14/2024
S785543,A,02/14/2024
S785328,A,02/14/2024
S786171,A,02/15/2024
S786134,A,02/15/2024
S785951,A,02/15/2024
S785020,A,02/15/2024
S785562,A,02/15/2024
S786002,A,02/15/2024
S785335,A,02/15/2024
S785960,A,02/15/2024
S785507,A,02/15/2024
S785922,A,02/15/2024
S785731,A,02/15/2024
S785705,A,02/15/2024
S786121,A,02/15/2024
S785538,A,02/15/2024
S785388,A,02/15/2024
S785580,A,02/15/2024
S785596,A,02/15/2024
S785363,A,02/15/2024
S785590,A,02/15/2024
S786303,A,02/15/2024
S786372,A,02/15/2024
S785192,A,02/16/2024
S785510,A,02/16/2024
S785697,A,02/16/2024
S785515,A,02/16/2024
S785414,A,02/16/2024
S785822,A,02/16/2024
S785970,A,02/16/2024
S785830,A,02/16/2024
S785493,A,02/16/2024
S785938,A,02/16/2024
S785018,A,02/16/2024
S786388,A,02/16/2024
S786211,A,02/16/2024
S785706,A,02/16/2024
S786287,A,02/19/2024
S785311,A,02/19/2024
S786360,A,02/19/2024
S786061,A,02/19/2024
S786400,A,02/19/2024
S786082,A,02/19/2024
S786316,A,02/19/2024
S786859,A,02/19/2024
S785500,A,02/19/2024
S784717,A,02/19/2024
S785450,A,02/19/2024
S785381,A,02/19/2024
S786155,A,02/19/2024
S785816,A,02/19/2024
S786800,A,02/19/2024
S785792,A,02/19/2024
S786368,A,02/19/2024
S785433,A,02/19/2024
S786506,A,02/19/2024
S786018,A,02/19/2024
S786357,A,02/19/2024
S786370,A,02/19/2024
S785757,A,02/19/2024
S785781,A,02/19/2024
S785334,A,02/19/2024
S785250,A,02/19/2024
S785796,A,02/19/2024
S786435,A,02/19/2024
S786453,A,02/19/2024
S786226,A,02/19/2024
S785729,A,02/19/2024
S785581,A,02/19/2024
S785996,A,02/19/2024
S786296,A,02/19/2024
S785120,A,02/19/2024
S786138,A,02/19/2024
S785233,A,02/20/2024
S786610,A,02/20/2024
S786326,A,02/20/2024
S786616,A,02/20/2024
S785317,A,02/20/2024
S786744,A,02/20/2024
S785386,A,02/20/2024
S785342,A,02/20/2024
S786143,A,02/20/2024
S786475,A,02/20/2024
S786754,A,02/20/2024
S786710,A,02/20/2024
S786398,A,02/20/2024
S786901,A,02/20/2024
S786007,A,02/20/2024
S786160,A,02/20/2024
S785258,A,02/20/2024
S786612,A,02/20/2024
S786588,A,02/20/2024
S785815,A,02/20/2024
S786508,A,02/20/2024
S785046,A,02/21/2024
S786056,A,02/21/2024
S786535,A,02/21/2024
S786362,A,02/21/2024
S786622,A,02/21/2024
S784221,A,02/21/2024
S786983,A,02/21/2024
S785665,A,02/21/2024
S785620,A,02/21/2024
S786663,A,02/21/2024
S786445,A,02/21/2024
S785882,A,02/21/2024
S785228,A,02/21/2024
S786438,A,02/21/2024
S785885,A,02/21/2024
S786151,A,02/21/2024
S785809,A,02/21/2024
S786145,A,02/21/2024
S784253,A,02/21/2024
S785283,A,02/21/2024
S785788,A,02/21/2024
S786932,A,02/21/2024
S786810,A,02/22/2024
S786037,A,02/22/2024
S787145,A,02/22/2024
S785893,A,02/22/2024
S786473,A,02/22/2024
S785964,A,02/22/2024
S786580,A,02/22/2024
S787030,A,02/22/2024
S785990,A,02/22/2024
S785259,A,02/22/2024
S785770,A,02/22/2024
S786952,A,02/22/2024
S786566,A,02/22/2024
S786815,A,02/22/2024
S786790,A,02/22/2024
S786543,A,02/22/2024
S786301,A,02/22/2024
S785789,A,02/22/2024
S787194,A,02/22/2024
S786650,A,02/22/2024
S785437,A,02/22/2024
S786941,A,02/22/2024
S785997,A,02/22/2024
S786915,A,02/22/2024
S786867,A,02/23/2024
S785443,A,02/23/2024
S786306,A,02/23/2024
S786254,A,02/23/2024
S787084,A,02/23/2024
S787094,A,02/23/2024
S787267,A,02/23/2024
S786507,A,02/23/2024
S786408,A,02/23/2024
S785850,A,02/23/2024
S787310,A,02/23/2024
S787178,A,02/23/2024
S787409,A,02/23/2024
S787051,A,02/23/2024
S787266,A,02/23/2024
S786587,A,02/23/2024
S787123,A,02/23/2024
S786557,A,02/23/2024
S785321,A,02/23/2024
S787344,A,02/23/2024
S787079,A,02/23/2024
S786904,A,02/23/2024
S787041,A,02/23/2024
S786482,A,02/23/2024
S787295,A,02/23/2024
S786063,A,02/23/2024
S786252,A,02/23/2024
S786576,A,02/23/2024
S786720,A,02/23/2024
S787324,A,02/23/2024
S785696,A,02/23/2024
S787042,A,02/23/2024
S786144,A,02/23/2024
S785759,A,02/23/2024
S785448,A,02/23/2024
S786581,A,02/23/2024
S787022,A,02/23/2024
S786793,A,02/23/2024
S787110,A,02/23/2024
S787106,A,02/23/2024
S786371,A,02/26/2024
S787357,A,02/26/2024
S786737,A,02/26/2024
S785540,A,02/26/2024
S787463,A,02/26/2024
S787549,A,02/26/2024
S786728,A,02/26/2024
S785109,A,02/26/2024
S787045,A,02/26/2024
S787303,A,02/26/2024
S786300,A,02/26/2024
S787568,A,02/26/2024
S787294,A,02/26/2024
S787581,A,02/26/2024
S787576,A,02/26/2024
S787337,A,02/26/2024
S787769,A,02/26/2024
S786236,A,02/26/2024
S787565,A,02/26/2024
S785101,A,02/26/2024
S785227,A,02/26/2024
S785210,A,02/26/2024
S786640,A,02/26/2024
S787056,A,02/26/2024
S787153,A,02/26/2024
S786183,A,02/26/2024
S786667,A,02/26/2024
S787479,A,02/26/2024
S785514,A,02/26/2024
S786743,A,02/26/2024
S786607,A,02/26/2024
S787193,A,02/26/2024
S787624,A,02/26/2024
S786795,A,02/26/2024
S786537,A,02/26/2024
S787117,A,02/26/2024
S785954,A,02/26/2024
S785799,A,02/26/2024
S786282,A,02/26/2024
S787173,A,02/26/2024
S786230,A,02/26/2024
S787376,A,02/26/2024
S787406,A,02/27/2024
S786758,A,02/27/2024
S786858,A,02/27/2024
S785150,A,02/27/2024
S787750,A,02/27/2024
S786830,A,02/27/2024
S785491,A,02/27/2024
S787531,A,02/27/2024
S787070,A,02/27/2024
S787490,A,02/27/2024
S786687,A,02/27/2024
S787508,A,02/27/2024
S785643,A,02/27/2024
S787374,A,02/27/2024
S787207,A,02/27/2024
S785404,A,02/27/2024
S786324,A,02/27/2024
S787158,A,02/27/2024
S787220,A,02/27/2024
S786626,A,02/27/2024
S787260,A,02/27/2024
S787052,A,02/27/2024
S787184,A,02/27/2024
S787418,A,02/27/2024
S785855,A,02/27/2024
S786827,A,02/27/2024
S786340,A,02/27/2024
S786283,A,02/27/2024
S785255,A,02/27/2024
S786958,A,02/27/2024
S787054,A,02/27/2024
S786960,A,02/27/2024
S787036,A,02/27/2024
S787415,A,02/27/2024
S787537,A,02/27/2024
S787586,A,02/27/2024
S785859,A,02/27/2024
S785563,A,02/27/2024
S787609,A,02/27/2024
S787132,A,02/27/2024
S786590,A,02/27/2024
S787745,A,02/27/2024
S783073,A,02/27/2024
S787748,A,02/28/2024
S787767,A,02/28/2024
S787704,A,02/28/2024
S787038,A,02/28/2024
S787252,A,02/28/2024
S786792,A,02/28/2024
S787917,A,02/28/2024
S787911,A,02/28/2024
S785558,A,02/28/2024
S787459,A,02/28/2024
S787553,A,02/28/2024
S785423,A,02/28/2024
S787783,A,02/28/2024
S787702,A,02/28/2024
S787253,A,02/28/2024
S786513,A,02/28/2024
S787281,A,02/28/2024
S786894,A,02/28/2024
S786965,A,02/28/2024
S787665,A,02/28/2024
S785884,A,02/28/2024
S785857,A,02/28/2024
S787269,A,02/28/2024
S786359,A,02/28/2024
S785895,A,02/28/2024
S787809,A,02/28/2024
S787475,A,02/28/2024
S787942,A,02/28/2024
S787726,A,02/28/2024
S786161,A,02/28/2024
S787588,A,02/28/2024
S786850,A,02/28/2024
S787087,A,02/28/2024
S787815,A,02/28/2024
S785599,A,02/28/2024
S787421,A,02/28/2024
S785359,A,02/28/2024
S786033,A,02/28/2024
S787613,A,02/28/2024
S787570,A,02/28/2024
S787599,A,02/28/2024
S787167,A,02/28/2024
S785319,A,02/28/2024
S787474,A,02/28/2024
S785730,A,02/28/2024
S785564,A,02/28/2024
S787112,A,02/28/2024
S787826,A,02/28/2024
S786942,A,02/28/2024
S785482,A,02/28/2024
S787768,A,02/28/2024
S786807,A,02/28/2024
S785200,A,02/28/2024
S787699,A,02/28/2024
S785478,A,02/28/2024
S787436,A,02/28/2024
S786788,A,02/28/2024
S787796,A,02/28/2024
S787395,A,02/28/2024
S787785,A,02/28/2024
S787922,A,02/28/2024
S787025,A,02/28/2024
S787192,A,02/28/2024
S785861,A,02/28/2024
S786851,A,02/28/2024
S787282,A,02/28/2024
S785845,A,02/28/2024
S785877,A,02/29/2024
S788318,A,02/29/2024
S788041,A,02/29/2024
S788068,A,02/29/2024
S787688,A,02/29/2024
S788312,A,02/29/2024
S788090,A,02/29/2024
S787453,A,02/29/2024
S787818,A,02/29/2024
S787845,A,02/29/2024
S788322,A,02/29/2024
S785961,A,02/29/2024
S787037,A,02/29/2024
S785439,A,02/29/2024
S787393,A,02/29/2024
S787257,A,02/29/2024
S787816,A,02/29/2024
S788222,A,02/29/2024
S788296,A,02/29/2024
S788256,A,02/29/2024
S785719,A,02/29/2024
S785982,A,02/29/2024
S785613,A,02/29/2024
S787719,A,02/29/2024
S787491,A,02/29/2024
S787182,A,02/29/2024
S786677,A,02/29/2024
S786058,A,02/29/2024
S788109,A,02/29/2024
S786786,A,02/29/2024
S787026,A,02/29/2024
S787795,A,02/29/2024
S788386,A,02/29/2024
S788079,A,02/29/2024
S788111,A,02/29/2024
S787885,A,02/29/2024
S786898,A,02/29/2024
S788308,A,02/29/2024
S785497,A,02/29/2024
S787601,A,02/29/2024
S788281,A,02/29/2024
S787927,A,02/29/2024
S787636,A,02/29/2024
S787932,A,02/29/2024
S785213,A,02/29/2024
S787055,A,02/29/2024
S787930,A,02/29/2024
S787058,A,02/29/2024
S787579,A,02/29/2024
S785578,A,02/29/2024
S787195,A,02/29/2024
S787716,A,02/29/2024
S788011,A,02/29/2024
S788146,A,02/29/2024
S786733,A,02/29/2024
S786628,A,02/29/2024
S787813,A,02/29/2024
S787251,A,02/29/2024
S786651,A,02/29/2024
S788149,A,02/29/2024
S787997,A,02/29/2024
S788058,A,02/29/2024
S787526,A,02/29/2024
S786152,A,02/29/2024
S787721,A,02/29/2024
S787996,A,02/29/2024
S787090,A,02/29/2024
